År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,535,1047,595,158,202,797,2538,3334
1991,507,1026,595,171,202,614,2502,3116
1992,479,988,595,139,202,699,2403,3103
1993,647,917,772,200,202,620,2738,3359
1994,793,891,646,172,202,659,2704,3363
1995,1033,884,806,169,202,683,3093,3776
1996,1178,796,680,114,202,319,2970,3289
1997,1252,790,690,123,202,420,3057,3476
1998,1396,783,670,151,202,406,3202,3608
1999,1444,777,603,116,202,449,3142,3591
2000,1432,771,554,113,202,484,3072,3556
2001,1488,842,521,119,202,368,3172,3541
2002,1438,813,611,114,202,383,3178,3560
2003,1614,815,617,121,202,371,3369,3739
2004,1701,806,577,156,202,393,3443,3836
2005,1791,812,593,150,202,452,3548,4000
2006,2124,824,600,125,202,400,3875,4275
2007,2427,814,598,137,202,466,4180,4645
2008,2444,791,601,160,202,452,4198,4650
2009,2707,774,586,157,202,409,4427,4836
2010,2588,775,596,176,202,332,4338,4670
2011,2803,751,617,155,202,435,4528,4962
2012,3037,811,604,153,202,431,4807,5238
2013,2854,878,604,139,271,382,4746,5128
2014,3042,881,637,123,318,450,5001,5451
2015,3150,869,593,128,349,482,5088,5570
2016,3168,891,657,122,270,395,5108,5503
2017,3095,883,666,122,303,422,5068,5491
2018,3030,895,679,131,297,433,5033,5467
2019,3303,859,661,113,276,388,5212,5600
2020,3483,870,679,113,347,498,5493,5990
2021,3376,869,647,106,246,361,5244,5605
2022,3454,894,649,90,249,388,5335,5722
2023,3303,788,634,108,309,439,5142,5582
