År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,26,68,0,18,5,112,117
1991,0,25,68,0,18,5,111,117
1992,0,24,68,0,18,5,110,115
1993,0,22,83,0,18,5,123,128
1994,0,21,50,0,18,6,88,94
1995,0,20,73,0,18,6,111,117
1996,0,16,78,0,18,4,112,116
1997,0,16,78,0,18,4,112,116
1998,0,16,60,0,18,4,94,98
1999,0,16,52,0,18,5,86,91
2000,0,16,41,0,18,5,75,80
2001,0,15,49,0,18,5,82,86
2002,0,14,41,0,18,4,74,78
2003,0,14,36,0,18,4,68,72
2004,0,14,36,0,18,4,68,72
2005,0,13,43,0,18,4,74,78
2006,0,14,45,0,18,4,77,82
2007,0,14,43,0,18,4,76,80
2008,0,13,38,0,18,5,69,74
2009,0,13,37,0,18,4,68,72
2010,0,13,42,0,18,4,73,77
2011,0,13,49,0,18,4,80,84
2012,0,15,45,0,18,4,78,82
2013,0,17,42,0,14,3,73,76
2014,0,16,55,0,22,5,93,97
2015,0,16,53,0,21,5,90,95
2016,0,17,41,0,15,4,73,76
2017,0,17,53,0,14,3,83,87
2018,0,16,49,0,15,4,80,84
2019,0,16,59,0,22,5,97,102
2020,0,16,58,0,26,6,100,106
2021,0,16,38,0,19,5,73,78
2022,0,15,35,0,12,3,62,65
2023,0,13,47,0,25,6,85,91
